action_kind,agent,avg_latency_s,avg_rate_bps,energy_j,final_edge,latency_s,matched,packet_loss,pair_id,route,scenario,task,time_s
UAV_RELAY,PKW112,6.796249758806232,1250030.5377162162,3.3938128894268655,1,6.796249758806232,1,0.43444890973530614,300.0:PKW112_300_2:PKW112,UAV3->E1,UAV-relay,PKW112_300_2,300.0
WIRED_1HOP,PKW112,6.288307249839299,1250031.240847877,3.137489634943399,1,6.288307249839299,1,0.2689417054111292,300.0:PKW112_300_2:PKW112,E0->E1,No-UAV-relay,PKW112_300_2,300.0
UAV_RELAY,PKW117,25.566287199104924,458123.1120804112,12.773601607577461,2,25.566287199104924,1,0.6433333485298725,300.0:PKW117_300_0:PKW117,UAV4->E2,UAV-relay,PKW117_300_0,300.0
WIRED_1HOP,PKW117,24.814265567482185,458123.11215358524,12.400685995297092,4,24.814265567482185,1,0.5379878053050416,300.0:PKW117_300_0:PKW117,E3->E4,No-UAV-relay,PKW117_300_0,300.0
UAV_RELAY,PKW117,28.804539949414,458123.1120804112,14.392790541707,2,28.804539949414,1,0.6433333485298725,300.0:PKW117_300_2:PKW117,UAV4->E2,UAV-relay,PKW117_300_2,300.0
WIRED_1HOP,PKW117,27.958861184017483,458123.11215358524,13.972603935422077,4,27.958861184017483,1,0.5379878053050416,300.0:PKW117_300_2:PKW117,E3->E4,No-UAV-relay,PKW117_300_2,300.0
UAV_RELAY,PKW119,69.41644603007695,307002.70549220045,34.69582037853848,2,69.41644603007695,1,0.7620891445801998,300.0:PKW119_300_2:PKW119,UAV4->E2,UAV-relay,PKW119_300_2,300.0
WIRED_1HOP,PKW119,45.6030205713773,458123.109490434,22.792810290728653,4,45.6030205713773,1,0.5379878085331374,300.0:PKW119_300_2:PKW119,E3->E4,No-UAV-relay,PKW119_300_2,300.0
UAV_RELAY,PKW135,27.987958933118932,307002.70254334883,13.957009808382445,8,27.987958933118932,1,0.7616067302945857,300.0:PKW135_300_1:PKW135,UAV0->E8,UAV-relay,PKW135_300_1,300.0
DIRECT,PKW135,27.368054917199373,307002.7220330487,13.680660475915685,4,27.368054917199373,1,0.6918194480266591,300.0:PKW135_300_1:PKW135,DIRECT_E4,No-UAV-relay,PKW135_300_1,300.0
UAV_RELAY,PKW135,14.15932526026696,307002.70254334883,7.044966859296048,8,14.15932526026696,1,0.7616067302945857,300.0:PKW135_300_2:PKW135,UAV0->E8,UAV-relay,PKW135_300_2,300.0
DIRECT,PKW135,13.813517662967302,307002.7220330487,6.905476244551651,4,13.813517662967302,1,0.6918194480266591,300.0:PKW135_300_2:PKW135,DIRECT_E4,No-UAV-relay,PKW135_300_2,300.0
UAV_RELAY,PKW137,112.28969887567258,215343.60428871404,56.13759148782924,1,112.28969887567258,1,0.869243011011004,300.0:PKW137_300_1:PKW137,UAV3->E1,UAV-relay,PKW137_300_1,300.0
DIRECT,PKW137,110.744660759695,215343.60945942966,55.3533955866975,2,110.744660759695,1,0.8309773346672665,300.0:PKW137_300_1:PKW137,DIRECT_E2,No-UAV-relay,PKW137_300_1,300.0
UAV_RELAY,PKW139,9.445551271128672,215343.25710597186,4.709803002689336,2,9.445551271128672,1,0.869517367485379,300.0:PKW139_300_1:PKW139,UAV4->E2,UAV-relay,PKW139_300_1,300.0
WIRED_1HOP,PKW139,9.2907501960605,215343.5851240249,4.644141770468167,1,9.2907501960605,1,0.8309773696506156,300.0:PKW139_300_1:PKW139,E2->E1,No-UAV-relay,PKW139_300_1,300.0
UAV_RELAY,PKW139,64.09110041967496,215343.25710597186,32.02666038176248,2,64.09110041967496,1,0.869517367485379,300.0:PKW139_300_2:PKW139,UAV4->E2,UAV-relay,PKW139_300_2,300.0
WIRED_1HOP,PKW139,63.18290399987806,215343.5851240249,31.58016400959828,1,63.18290399987806,1,0.8309773696506156,300.0:PKW139_300_2:PKW139,E2->E1,No-UAV-relay,PKW139_300_2,300.0
UAV_RELAY,PKW143,22.60762904839705,215343.6090041763,11.302870527782774,1,22.60762904839705,1,0.8692430057669509,300.0:PKW143_300_2:PKW143,UAV3->E1,UAV-relay,PKW143_300_2,300.0
WIRED_1HOP,PKW143,22.29664597647848,215343.60921923714,11.145938991823488,1,22.29664597647848,1,0.8309773350125549,300.0:PKW143_300_2:PKW143,E2->E1,No-UAV-relay,PKW143_300_2,300.0
UAV_RELAY,PKW160,46.51985783328515,458088.2631207094,23.207437210213662,8,46.51985783328515,1,0.6426428036552084,300.0:PKW160_300_0:PKW160,UAV0->E8,UAV-relay,PKW160_300_0,300.0
DIRECT,PKW160,45.06226291741794,458095.16223478847,22.528070261876973,9,45.06226291741794,1,0.5380216851825614,300.0:PKW160_300_0:PKW160,DIRECT_E9,No-UAV-relay,PKW160_300_0,300.0
UAV_RELAY,PKW160,7.657932915777921,458088.2631207094,3.7779548959465967,8,7.657932915777921,1,0.6426428036552084,300.0:PKW160_300_1:PKW160,UAV0->E8,UAV-relay,PKW160_300_1,300.0
