edge,load,queue_cycles,queued_work_s,task,time_s
1,0.0,0.0,0.0,LKW30_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW30_300_2,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW30_300_2,300.0
4,0.0,0.0,0.0,LKW30_300_2,300.0
5,0.0,0.0,0.0,LKW30_300_2,300.0
6,0.0,0.0,0.0,LKW30_300_2,300.0
7,0.00874,43700000.0,0.00874,LKW30_300_2,300.0
8,0.014251345454545454,78382400.0,0.014251345454545454,LKW30_300_2,300.0
9,0.0,0.0,0.0,LKW30_300_2,300.0
0,0.0,0.0,0.0,LKW31_300_0,300.0
1,0.0,0.0,0.0,LKW31_300_0,300.0
2,0.0049144,24572000.0,0.0049144,LKW31_300_0,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW31_300_0,300.0
4,0.0,0.0,0.0,LKW31_300_0,300.0
5,0.0,0.0,0.0,LKW31_300_0,300.0
6,0.0,0.0,0.0,LKW31_300_0,300.0
7,0.00874,43700000.0,0.00874,LKW31_300_0,300.0
8,0.014251345454545454,78382400.0,0.014251345454545454,LKW31_300_0,300.0
9,0.0,0.0,0.0,LKW31_300_0,300.0
0,0.0,0.0,0.0,LKW31_300_1,300.0
1,0.0,0.0,0.0,LKW31_300_1,300.0
2,0.0049144,24572000.0,0.0049144,LKW31_300_1,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW31_300_1,300.0
4,0.0,0.0,0.0,LKW31_300_1,300.0
5,0.0,0.0,0.0,LKW31_300_1,300.0
6,0.0,0.0,0.0,LKW31_300_1,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW31_300_1,300.0
8,0.014251345454545454,78382400.0,0.014251345454545454,LKW31_300_1,300.0
9,0.0,0.0,0.0,LKW31_300_1,300.0
0,0.0,0.0,0.0,LKW33_300_1,300.0
1,0.0,0.0,0.0,LKW33_300_1,300.0
2,0.0049144,24572000.0,0.0049144,LKW33_300_1,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW33_300_1,300.0
4,0.0,0.0,0.0,LKW33_300_1,300.0
5,0.0,0.0,0.0,LKW33_300_1,300.0
6,0.0,0.0,0.0,LKW33_300_1,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW33_300_1,300.0
8,0.028528436363636365,156906400.0,0.028528436363636365,LKW33_300_1,300.0
9,0.0,0.0,0.0,LKW33_300_1,300.0
0,0.0,0.0,0.0,LKW33_300_2,300.0
1,0.0,0.0,0.0,LKW33_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW33_300_2,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW33_300_2,300.0
4,0.0,0.0,0.0,LKW33_300_2,300.0
5,0.0,0.0,0.0,LKW33_300_2,300.0
6,0.0,0.0,0.0,LKW33_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW33_300_2,300.0
8,0.03480247272727273,191413600.0,0.03480247272727273,LKW33_300_2,300.0
9,0.0,0.0,0.0,LKW33_300_2,300.0
0,0.0062712,25084800.0,0.0062712,LKW34_300_1,300.0
1,0.0,0.0,0.0,LKW34_300_1,300.0
2,0.0049144,24572000.0,0.0049144,LKW34_300_1,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW34_300_1,300.0
4,0.0,0.0,0.0,LKW34_300_1,300.0
5,0.0,0.0,0.0,LKW34_300_1,300.0
6,0.0,0.0,0.0,LKW34_300_1,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW34_300_1,300.0
8,0.03480247272727273,191413600.0,0.03480247272727273,LKW34_300_1,300.0
9,0.0,0.0,0.0,LKW34_300_1,300.0
0,0.0062712,25084800.0,0.0062712,LKW35_300_0,300.0
1,0.0,0.0,0.0,LKW35_300_0,300.0
2,0.0049144,24572000.0,0.0049144,LKW35_300_0,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW35_300_0,300.0
4,0.0,0.0,0.0,LKW35_300_0,300.0
5,0.0,0.0,0.0,LKW35_300_0,300.0
6,0.0,0.0,0.0,LKW35_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW35_300_0,300.0
8,0.03480247272727273,191413600.0,0.03480247272727273,LKW35_300_0,300.0
9,0.0,0.0,0.0,LKW35_300_0,300.0
0,0.0062712,25084800.0,0.0062712,LKW35_300_2,300.0
1,0.0,0.0,0.0,LKW35_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW35_300_2,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW35_300_2,300.0
4,0.0,0.0,0.0,LKW35_300_2,300.0
5,0.0,0.0,0.0,LKW35_300_2,300.0
6,0.0,0.0,0.0,LKW35_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW35_300_2,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW35_300_2,300.0
9,0.0,0.0,0.0,LKW35_300_2,300.0
0,0.0062712,25084800.0,0.0062712,LKW36_300_0,300.0
1,0.0,0.0,0.0,LKW36_300_0,300.0
2,0.0049144,24572000.0,0.0049144,LKW36_300_0,300.0
3,0.018289454545454546,100592000.0,0.018289454545454546,LKW36_300_0,300.0
4,0.0,0.0,0.0,LKW36_300_0,300.0
5,0.0,0.0,0.0,LKW36_300_0,300.0
6,0.0,0.0,0.0,LKW36_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW36_300_0,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW36_300_0,300.0
9,0.0,0.0,0.0,LKW36_300_0,300.0
0,0.0062712,25084800.0,0.0062712,LKW37_300_0,300.0
1,0.0,0.0,0.0,LKW37_300_0,300.0
2,0.0049144,24572000.0,0.0049144,LKW37_300_0,300.0
3,0.025859054545454545,142224800.0,0.025859054545454545,LKW37_300_0,300.0
4,0.0,0.0,0.0,LKW37_300_0,300.0
5,0.0,0.0,0.0,LKW37_300_0,300.0
6,0.0,0.0,0.0,LKW37_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW37_300_0,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW37_300_0,300.0
9,0.0,0.0,0.0,LKW37_300_0,300.0
0,0.0062712,25084800.0,0.0062712,LKW37_300_1,300.0
1,0.0,0.0,0.0,LKW37_300_1,300.0
2,0.0049144,24572000.0,0.0049144,LKW37_300_1,300.0
3,0.03886821818181818,213775200.0,0.03886821818181818,LKW37_300_1,300.0
4,0.0,0.0,0.0,LKW37_300_1,300.0
5,0.0,0.0,0.0,LKW37_300_1,300.0
6,0.0,0.0,0.0,LKW37_300_1,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW37_300_1,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW37_300_1,300.0
9,0.0,0.0,0.0,LKW37_300_1,300.0
0,0.0062712,25084800.0,0.0062712,LKW37_300_2,300.0
1,0.0,0.0,0.0,LKW37_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW37_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,LKW37_300_2,300.0
4,0.0,0.0,0.0,LKW37_300_2,300.0
5,0.0,0.0,0.0,LKW37_300_2,300.0
6,0.0,0.0,0.0,LKW37_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW37_300_2,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW37_300_2,300.0
9,0.0,0.0,0.0,LKW37_300_2,300.0
0,0.0093372,37348800.0,0.0093372,LKW38_300_0,300.0
1,0.0,0.0,0.0,LKW38_300_0,300.0
2,0.0049144,24572000.0,0.0049144,LKW38_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,LKW38_300_0,300.0
4,0.0,0.0,0.0,LKW38_300_0,300.0
5,0.0,0.0,0.0,LKW38_300_0,300.0
6,0.0,0.0,0.0,LKW38_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW38_300_0,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW38_300_0,300.0
9,0.0,0.0,0.0,LKW38_300_0,300.0
0,0.0093372,37348800.0,0.0093372,LKW38_300_1,300.0
1,0.0,0.0,0.0,LKW38_300_1,300.0
2,0.0049144,24572000.0,0.0049144,LKW38_300_1,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,LKW38_300_1,300.0
4,0.0,0.0,0.0,LKW38_300_1,300.0
5,0.0,0.0,0.0,LKW38_300_1,300.0
6,0.0,0.0,0.0,LKW38_300_1,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW38_300_1,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW38_300_1,300.0
9,0.0,0.0,0.0,LKW38_300_1,300.0
0,0.0133084,53233600.0,0.0133084,LKW38_300_2,300.0
1,0.0,0.0,0.0,LKW38_300_2,300.0
2,0.0049144,24572000.0,0.0049144,LKW38_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,LKW38_300_2,300.0
4,0.0,0.0,0.0,LKW38_300_2,300.0
5,0.0,0.0,0.0,LKW38_300_2,300.0
6,0.0,0.0,0.0,LKW38_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW38_300_2,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW38_300_2,300.0
9,0.0,0.0,0.0,LKW38_300_2,300.0
0,0.0133084,53233600.0,0.0133084,LKW39_300_0,300.0
1,0.0,0.0,0.0,LKW39_300_0,300.0
2,0.0090328,45164000.0,0.0090328,LKW39_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,LKW39_300_0,300.0
4,0.0,0.0,0.0,LKW39_300_0,300.0
5,0.0,0.0,0.0,LKW39_300_0,300.0
6,0.0,0.0,0.0,LKW39_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW39_300_0,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW39_300_0,300.0
9,0.0,0.0,0.0,LKW39_300_0,300.0
0,0.0133084,53233600.0,0.0133084,LKW39_300_1,300.0
1,0.0,0.0,0.0,LKW39_300_1,300.0
2,0.01179088,58954400.0,0.01179088,LKW39_300_1,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,LKW39_300_1,300.0
4,0.0,0.0,0.0,LKW39_300_1,300.0
5,0.0,0.0,0.0,LKW39_300_1,300.0
6,0.0,0.0,0.0,LKW39_300_1,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW39_300_1,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW39_300_1,300.0
9,0.0,0.0,0.0,LKW39_300_1,300.0
0,0.0133084,53233600.0,0.0133084,LKW7_300_0,300.0
1,0.0,0.0,0.0,LKW7_300_0,300.0
2,0.01179088,58954400.0,0.01179088,LKW7_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,LKW7_300_0,300.0
4,0.0,0.0,0.0,LKW7_300_0,300.0
5,0.0,0.0,0.0,LKW7_300_0,300.0
6,0.0,0.0,0.0,LKW7_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,LKW7_300_0,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,LKW7_300_0,300.0
9,0.0030952,18571200.0,0.0030952,LKW7_300_0,300.0
0,0.0133084,53233600.0,0.0133084,PKW100_300_0,300.0
1,0.0,0.0,0.0,PKW100_300_0,300.0
2,0.01179088,58954400.0,0.01179088,PKW100_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW100_300_0,300.0
4,0.0,0.0,0.0,PKW100_300_0,300.0
5,0.0,0.0,0.0,PKW100_300_0,300.0
6,0.0,0.0,0.0,PKW100_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW100_300_0,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,PKW100_300_0,300.0
9,0.0030952,18571200.0,0.0030952,PKW100_300_0,300.0
0,0.0133084,53233600.0,0.0133084,PKW102_300_1,300.0
1,0.0,0.0,0.0,PKW102_300_1,300.0
2,0.01179088,58954400.0,0.01179088,PKW102_300_1,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW102_300_1,300.0
4,0.0,0.0,0.0,PKW102_300_1,300.0
5,0.0,0.0,0.0,PKW102_300_1,300.0
6,0.0,0.0,0.0,PKW102_300_1,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW102_300_1,300.0
8,0.04769614545454545,262328800.0,0.04769614545454545,PKW102_300_1,300.0
9,0.0030952,18571200.0,0.0030952,PKW102_300_1,300.0
0,0.0133084,53233600.0,0.0133084,PKW105_300_2,300.0
1,0.0,0.0,0.0,PKW105_300_2,300.0
2,0.01179088,58954400.0,0.01179088,PKW105_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW105_300_2,300.0
4,0.0,0.0,0.0,PKW105_300_2,300.0
5,0.0,0.0,0.0,PKW105_300_2,300.0
6,0.0,0.0,0.0,PKW105_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW105_300_2,300.0
8,0.0489744,269359200.0,0.0489744,PKW105_300_2,300.0
9,0.0030952,18571200.0,0.0030952,PKW105_300_2,300.0
0,0.0133084,53233600.0,0.0133084,PKW109_300_0,300.0
1,0.0,0.0,0.0,PKW109_300_0,300.0
2,0.01179088,58954400.0,0.01179088,PKW109_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW109_300_0,300.0
4,0.0,0.0,0.0,PKW109_300_0,300.0
5,0.0,0.0,0.0,PKW109_300_0,300.0
6,0.0,0.0,0.0,PKW109_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW109_300_0,300.0
8,0.0489744,269359200.0,0.0489744,PKW109_300_0,300.0
9,0.0030952,18571200.0,0.0030952,PKW109_300_0,300.0
0,0.0133084,53233600.0,0.0133084,PKW110_300_0,300.0
1,0.0,0.0,0.0,PKW110_300_0,300.0
2,0.01179088,58954400.0,0.01179088,PKW110_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW110_300_0,300.0
4,0.0,0.0,0.0,PKW110_300_0,300.0
5,0.0,0.0,0.0,PKW110_300_0,300.0
6,0.0,0.0,0.0,PKW110_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW110_300_0,300.0
8,0.0489744,269359200.0,0.0489744,PKW110_300_0,300.0
9,0.0030952,18571200.0,0.0030952,PKW110_300_0,300.0
0,0.0150804,60321600.0,0.0150804,PKW110_300_2,300.0
1,0.0,0.0,0.0,PKW110_300_2,300.0
2,0.01179088,58954400.0,0.01179088,PKW110_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW110_300_2,300.0
4,0.0,0.0,0.0,PKW110_300_2,300.0
5,0.0,0.0,0.0,PKW110_300_2,300.0
6,0.0,0.0,0.0,PKW110_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW110_300_2,300.0
8,0.0489744,269359200.0,0.0489744,PKW110_300_2,300.0
9,0.0030952,18571200.0,0.0030952,PKW110_300_2,300.0
0,0.0247824,99129600.0,0.0247824,PKW112_300_2,300.0
1,0.0,0.0,0.0,PKW112_300_2,300.0
2,0.01179088,58954400.0,0.01179088,PKW112_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW112_300_2,300.0
4,0.0,0.0,0.0,PKW112_300_2,300.0
5,0.0,0.0,0.0,PKW112_300_2,300.0
6,0.0,0.0,0.0,PKW112_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW112_300_2,300.0
8,0.0489744,269359200.0,0.0489744,PKW112_300_2,300.0
9,0.0030952,18571200.0,0.0030952,PKW112_300_2,300.0
0,0.0247824,99129600.0,0.0247824,PKW114_300_0,300.0
1,0.0,0.0,0.0,PKW114_300_0,300.0
2,0.01179088,58954400.0,0.01179088,PKW114_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW114_300_0,300.0
4,0.0,0.0,0.0,PKW114_300_0,300.0
5,0.0,0.0,0.0,PKW114_300_0,300.0
6,0.0,0.0,0.0,PKW114_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW114_300_0,300.0
8,0.05410312727272727,297567200.0,0.05410312727272727,PKW114_300_0,300.0
9,0.0030952,18571200.0,0.0030952,PKW114_300_0,300.0
0,0.0247824,99129600.0,0.0247824,PKW117_300_0,300.0
1,0.0,0.0,0.0,PKW117_300_0,300.0
2,0.01179088,58954400.0,0.01179088,PKW117_300_0,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW117_300_0,300.0
4,0.0,0.0,0.0,PKW117_300_0,300.0
5,0.0,0.0,0.0,PKW117_300_0,300.0
6,0.0,0.0,0.0,PKW117_300_0,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW117_300_0,300.0
8,0.05410312727272727,297567200.0,0.05410312727272727,PKW117_300_0,300.0
9,0.0030952,18571200.0,0.0030952,PKW117_300_0,300.0
0,0.0247824,99129600.0,0.0247824,PKW117_300_2,300.0
1,0.0,0.0,0.0,PKW117_300_2,300.0
2,0.01895888,94794400.0,0.01895888,PKW117_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW117_300_2,300.0
4,0.0,0.0,0.0,PKW117_300_2,300.0
5,0.0,0.0,0.0,PKW117_300_2,300.0
6,0.0,0.0,0.0,PKW117_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW117_300_2,300.0
8,0.05410312727272727,297567200.0,0.05410312727272727,PKW117_300_2,300.0
9,0.0030952,18571200.0,0.0030952,PKW117_300_2,300.0
0,0.0247824,99129600.0,0.0247824,PKW119_300_2,300.0
1,0.0,0.0,0.0,PKW119_300_2,300.0
2,0.02480528,124026400.0,0.02480528,PKW119_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW119_300_2,300.0
4,0.0,0.0,0.0,PKW119_300_2,300.0
5,0.0,0.0,0.0,PKW119_300_2,300.0
6,0.0,0.0,0.0,PKW119_300_2,300.0
7,0.026524800000000005,132624000.00000001,0.026524800000000005,PKW119_300_2,300.0
8,0.05410312727272727,297567200.0,0.05410312727272727,PKW119_300_2,300.0
9,0.0030952,18571200.0,0.0030952,PKW119_300_2,300.0
0,0.0247824,99129600.0,0.0247824,PKW124_300_2,300.0
1,0.0,0.0,0.0,PKW124_300_2,300.0
2,0.02480528,124026400.0,0.02480528,PKW124_300_2,300.0
3,0.045807127272727274,251939200.0,0.045807127272727274,PKW124_300_2,300.0
4,0.0,0.0,0.0,PKW124_300_2,300.0
5,0.0,0.0,0.0,PKW124_300_2,300.0
