time_s,uav_id,x,y
321.0,2,958.0128623519133,547.7576409877264
321.0,3,457.58293156014577,610.5235298804292
321.0,4,1762.9027500000002,775.58975
322.0,0,1502.3239130434781,1203.2495652173914
322.0,1,725.8631717898054,1225.6116749307516
322.0,2,955.4643773595399,512.8505468055455
322.0,3,443.82404354801713,642.705714403387
322.0,4,1752.1969047619045,782.3314285714285
323.0,0,1502.8254347826087,1204.4089130434782
323.0,1,747.0097435897436,1231.5597435897437
323.0,2,951.395925925926,494.1575925925926
323.0,3,429.90239136792445,674.8178242776465
323.0,4,1752.5611904761904,781.6673809523809
324.0,0,1502.7082222222223,1212.0775555555556
324.0,1,752.71,1237.278
324.0,2,947.7569811320755,494.56113207547173
324.0,3,416.839890368384,707.2889047591613
324.0,4,1747.526976744186,784.1595348837209
325.0,0,1511.4922727272728,1211.4984090909093
325.0,1,762.8726829268293,1237.388780487805
325.0,2,944.3518518518518,498.69481481481483
325.0,3,402.50476190476195,727.8926190476191
325.0,4,1747.7744186046511,783.4332558139535
326.0,0,1511.9624999999999,1213.5463636363636
326.0,1,763.5243902439024,1235.1160975609755
326.0,2,947.3161818181818,497.00909090909084
326.0,3,402.7216666666668,729.3140476190476
326.0,4,1749.4699999999998,776.2735714285715
327.0,0,1521.480222222222,1213.8713333333333
327.0,1,764.4526829268293,1233.310731707317
327.0,2,948.2621818181818,499.1625454545455
327.0,3,400.06720930232564,723.4132558139535
327.0,4,1733.6474358974358,767.9982051282051
328.0,0,1521.5206666666668,1215.2211111111112
328.0,1,765.6551219512196,1231.5878048780487
328.0,2,956.117090909091,508.08418181818183
328.0,3,403.5245454545453,713.1681818181819
328.0,4,1745.7913513513513,766.2124324324324
329.0,0,1486.7312708688853,1211.3873218595606
329.0,1,732.368673472364,1242.4050294603753
329.0,2,965.688,523.7045454545455
329.0,3,404.1877272727272,699.0161363636364
329.0,4,1760.4051282051282,774.374358974359
330.0,0,1488.424893617021,1210.9338297872341
330.0,1,724.5250000000001,1235.6855263157895
330.0,2,966.5194545454546,526.0541818181817
330.0,3,399.70704545454555,686.9690909090909
330.0,4,1756.0736842105262,762.8294736842106
331.0,0,1488.256170212766,1212.2017021276597
331.0,1,727.3815,1228.22575
331.0,2,966.7441818181818,528.512909090909
331.0,3,394.61627906976764,681.903488372093
331.0,4,1746.331891891892,762.8048648648648
332.0,0,1486.3878723404257,1212.9436170212766
332.0,1,726.3465853658536,1219.8975609756098
332.0,2,968.9044642857143,527.3496428571427
332.0,3,389.5697619047619,675.9971428571428
332.0,4,1736.2602777777777,762.8386111111112
333.0,0,1479.3126086956522,1208.1817391304348
333.0,1,727.4875609756098,1219.8060975609756
333.0,2,973.4037288135594,542.6364406779661
333.0,3,390.75119047619046,675.417619047619
333.0,4,1746.9582857142855,765.2934285714285
334.0,0,1477.7570212765957,1194.340425531915
334.0,1,715.9490476190476,1219.4540476190475
334.0,2,972.8484745762712,544.8010169491524
334.0,3,391.9807142857145,675.2033333333334
334.0,4,1746.4074999999998,745.2784375
